Id,Labels
PS_01,Sarcastic
PS_02,Negative
PS_03,Positive
PS_04,Substantiated
PS_05,Positive
PS_06,Sarcastic
PS_07,Negative
PS_08,Substantiated
PS_09,None of the above
PS_10,Positive
PS_11,Positive
PS_12,Neutral
PS_13,Sarcastic
PS_14,Neutral
PS_15,Neutral
PS_16,Substantiated
PS_17,Negative
PS_18,Negative
PS_19,Negative
PS_20,Positive
PS_21,Negative
PS_22,Sarcastic
PS_23,Substantiated
PS_24,Neutral
PS_25,Negative
PS_26,Negative
PS_27,Negative
PS_28,Positive
PS_29,Negative
PS_30,Negative
PS_31,Neutral
PS_32,Substantiated
PS_33,Negative
PS_34,Neutral
PS_35,Sarcastic
PS_36,Negative
PS_37,Negative
PS_38,Negative
PS_39,Negative
PS_40,Negative
PS_41,Neutral
PS_42,Negative
PS_43,Substantiated
PS_44,Substantiated
PS_45,Negative
PS_46,Negative
PS_47,Neutral
PS_48,Substantiated
PS_49,Negative
PS_50,Neutral
PS_51,Negative
PS_52,Negative
PS_53,Negative
PS_54,Substantiated
PS_55,Sarcastic
PS_56,Substantiated
PS_57,Substantiated
PS_58,Negative
PS_59,Substantiated
PS_60,Positive
PS_61,Negative
PS_62,Sarcastic
PS_63,Positive
PS_64,Neutral
PS_65,Sarcastic
PS_66,Negative
PS_67,Negative
PS_68,Substantiated
PS_69,Positive
PS_70,Negative
PS_71,Negative
PS_72,None of the above
PS_73,Negative
PS_74,Negative
PS_75,Positive
PS_76,Negative
PS_77,Neutral
PS_78,Substantiated
PS_79,Substantiated
PS_80,Negative
PS_81,Negative
PS_82,Negative
PS_83,Negative
PS_84,Substantiated
PS_85,Negative
PS_86,Sarcastic
PS_87,Sarcastic
PS_88,Negative
PS_89,Neutral
PS_90,Positive
PS_91,Substantiated
PS_92,Neutral
PS_93,Substantiated
PS_94,Positive
PS_95,Negative
PS_96,None of the above
PS_97,Negative
PS_98,Neutral
PS_99,Negative
PS_100,Positive
PS_101,Negative
PS_102,Neutral
PS_103,Neutral
PS_104,Negative
PS_105,Negative
PS_106,Substantiated
PS_107,Substantiated
PS_108,Negative
PS_109,Negative
PS_110,Negative
PS_111,Substantiated
PS_112,Substantiated
PS_113,Substantiated
PS_114,Substantiated
PS_115,Substantiated
PS_116,Neutral
PS_117,Neutral
PS_118,Negative
PS_119,Sarcastic
PS_120,Negative
PS_121,Negative
PS_122,Negative
PS_123,Substantiated
PS_124,Negative
PS_125,Substantiated
PS_126,Negative
PS_127,Negative
PS_128,None of the above
PS_129,Substantiated
PS_130,None of the above
PS_131,Negative
PS_132,Negative
PS_133,Substantiated
PS_134,Sarcastic
PS_135,Substantiated
PS_136,None of the above
PS_137,Negative
PS_138,Positive
PS_139,Negative
PS_140,Negative
PS_141,Substantiated
PS_142,Negative
PS_143,Positive
PS_144,Negative
PS_145,Negative
PS_146,Positive
PS_147,Neutral
PS_148,Substantiated
PS_149,Neutral
PS_150,Positive
PS_151,Neutral
PS_152,Sarcastic
PS_153,Substantiated
PS_154,Negative
PS_155,Negative
PS_156,Negative
PS_157,Negative
PS_158,Negative
PS_159,Positive
PS_160,Negative
PS_161,Negative
PS_162,Substantiated
PS_163,Neutral
PS_164,Sarcastic
PS_165,Positive
PS_166,Opinionated
PS_167,Negative
PS_168,Negative
PS_169,Negative
PS_170,Sarcastic
PS_171,Neutral
PS_172,Substantiated
PS_173,Negative
