Id,Labels
PS_01,Sarcastic
PS_02,Opinionated
PS_03,Opinionated
PS_04,Substantiated
PS_05,Positive
PS_06,Sarcastic
PS_07,Opinionated
PS_08,Sarcastic
PS_09,None of the above
PS_10,Sarcastic
PS_11,Positive
PS_12,Opinionated
PS_13,Opinionated
PS_14,Sarcastic
PS_15,Opinionated
PS_16,Substantiated
PS_17,Opinionated
PS_18,Opinionated
PS_19,Opinionated
PS_20,Positive
PS_21,Negative
PS_22,Opinionated
PS_23,Sarcastic
PS_24,Opinionated
PS_25,Opinionated
PS_26,Opinionated
PS_27,Opinionated
PS_28,Opinionated
PS_29,Sarcastic
PS_30,Opinionated
PS_31,Opinionated
PS_32,Sarcastic
PS_33,Opinionated
PS_34,Opinionated
PS_35,Sarcastic
PS_36,Opinionated
PS_37,Opinionated
PS_38,Sarcastic
PS_39,Opinionated
PS_40,Neutral
PS_41,Neutral
PS_42,Opinionated
PS_43,Opinionated
PS_44,Opinionated
PS_45,Opinionated
PS_46,Opinionated
PS_47,Opinionated
PS_48,Opinionated
PS_49,Positive
PS_50,Neutral
PS_51,Opinionated
PS_52,Neutral
PS_53,Opinionated
PS_54,Positive
PS_55,Sarcastic
PS_56,Opinionated
PS_57,Neutral
PS_58,Sarcastic
PS_59,Sarcastic
PS_60,Opinionated
PS_61,Opinionated
PS_62,Sarcastic
PS_63,Positive
PS_64,Opinionated
PS_65,Sarcastic
PS_66,Opinionated
PS_67,Negative
PS_68,Sarcastic
PS_69,Positive
PS_70,Negative
PS_71,Opinionated
PS_72,Opinionated
PS_73,Opinionated
PS_74,Neutral
PS_75,Positive
PS_76,Opinionated
PS_77,Opinionated
PS_78,Opinionated
PS_79,Substantiated
PS_80,Sarcastic
PS_81,Opinionated
PS_82,Opinionated
PS_83,Positive
PS_84,Opinionated
PS_85,Opinionated
PS_86,Sarcastic
PS_87,Sarcastic
PS_88,Opinionated
PS_89,Neutral
PS_90,Positive
PS_91,Opinionated
PS_92,None of the above
PS_93,Opinionated
PS_94,Opinionated
PS_95,Opinionated
PS_96,Sarcastic
PS_97,Opinionated
PS_98,Positive
PS_99,Sarcastic
PS_100,Positive
PS_101,Opinionated
PS_102,Opinionated
PS_103,Opinionated
PS_104,Opinionated
PS_105,Opinionated
PS_106,Opinionated
PS_107,Sarcastic
PS_108,Negative
PS_109,Negative
PS_110,Substantiated
PS_111,Positive
PS_112,Positive
PS_113,Sarcastic
PS_114,Opinionated
PS_115,Substantiated
PS_116,Sarcastic
PS_117,Opinionated
PS_118,Opinionated
PS_119,Opinionated
PS_120,Opinionated
PS_121,Sarcastic
PS_122,Sarcastic
PS_123,Opinionated
PS_124,Opinionated
PS_125,Positive
PS_126,Opinionated
PS_127,Opinionated
PS_128,Opinionated
PS_129,Substantiated
PS_130,None of the above
PS_131,Opinionated
PS_132,Sarcastic
PS_133,Substantiated
PS_134,Sarcastic
PS_135,Opinionated
PS_136,None of the above
PS_137,Opinionated
PS_138,Opinionated
PS_139,Opinionated
PS_140,Negative
PS_141,Opinionated
PS_142,Opinionated
PS_143,Positive
PS_144,Negative
PS_145,Sarcastic
PS_146,Opinionated
PS_147,Opinionated
PS_148,Sarcastic
PS_149,Neutral
PS_150,Sarcastic
PS_151,Opinionated
PS_152,Sarcastic
PS_153,Opinionated
PS_154,Neutral
PS_155,Sarcastic
PS_156,Neutral
PS_157,Opinionated
PS_158,Opinionated
PS_159,Positive
PS_160,Opinionated
PS_161,Opinionated
PS_162,Opinionated
PS_163,Opinionated
PS_164,Sarcastic
PS_165,Opinionated
PS_166,Opinionated
PS_167,Negative
PS_168,Positive
PS_169,Opinionated
PS_170,Sarcastic
PS_171,Neutral
PS_172,Sarcastic
PS_173,Opinionated
